id,make,model,year,owner
YV1902AH6B1476381,Mazda,Tribute,2003,Rodge McCullagh
KMHTC6AD5EU744472,Mitsubishi,Diamante,1998,Osbourn Simoes
JN1CV6AP3CM945005,Dodge,Grand Caravan,1992,Terence Charnick
4T1BK3DB6BU171715,Lexus,ES,2009,Nara Sayer
WBA3B1C50EP776192,Mercedes-Benz,SLK-Class,2000,Bartlet Pick
3FAHP0HAXAR326097,Ford,Crown Victoria,2008,Lodovico Heelis
1G6KH5EY0AU353610,Ford,Focus,2011,Aguste Benois
1C3CDFBA6DD404613,Suzuki,SX4,2012,Rafael Rebeiro
3VW4S7AT1EM243931,Porsche,Cayenne,2011,Merrile Clarkin
WP0CA2A8XBS821883,Mercedes-Benz,W126,1983,Milty Spraggs
WBAYE8C52DD521100,Lincoln,MKZ,2010,Otes Nuttall
WP1AA2A23EL457318,Lincoln,Navigator L,2007,Fayina Weavill
WBAXH5C50CC392280,Jaguar,XK Series,2002,Randell Measham
WBASN2C59BC165198,Suzuki,Vitara,2002,Gerry Panther
WAUDG68E25A624283,Toyota,TundraMax,2009,Barbara Jancey
1C6RD7HTXCS740710,Cadillac,DeVille,2002,Martha Markie
JHMZF1C62CS933627,GMC,3500,1999,Muffin Revan
4T1BK1EB7FU887385,Mitsubishi,Lancer,2010,Phoebe Castano
WAUGN74F59N959205,Subaru,B9 Tribeca,2007,Gayle Schnieder
1D4PU2GK1BW516831,GMC,Sierra 3500,2004,Xenia McAllaster
5TDDCRFH7FS102170,Ford,Explorer,2001,Rikki Jakubiak
SCBFC7ZAXDC659166,Kia,Sorento,2008,Riobard Tarquinio
1N6AD0CU8DN725701,Mitsubishi,RVR,1995,Nikaniki Rubertelli
WBAKE5C57CE643092,Cadillac,SRX,2006,Joey Bugler
JM1NC2MFXE0487528,MINI,Clubman,2009,Jesse Brun
WAUMFAFH1FN601249,Chrysler,Concorde,1999,Julina O'Hone
5N1AR1NB3BC357597,Saab,09-Mar,2007,Gardener Pemberton
2G4GS5ECXB9146659,Buick,Regal,1993,Glenda Kobieriecki
2B3CL3CG2BH380733,Pontiac,Grand Am,1989,Maighdiln Gooding
JTDKTUD33ED491935,Honda,S2000,2009,Rose Bowcock
KMHEC4A49EA022839,Hummer,H1,1999,Anjanette Shimuk
WVGAV7AX1CW750014,Chevrolet,Aveo,2005,Sarajane Dearness
